samples,life_style,ecosystem,habitat,mean_si,richness,diversity
mgm4629274,host-associated,animal_host-associated,animal_feces,0.9528630382917876,1892,0.9091487438842701
mgm4629275,host-associated,animal_host-associated,animal_feces,0.9806072884934923,1940,0.9007757976047464
mgm4629276,host-associated,animal_host-associated,animal_feces,0.9106600952054174,1928,0.9099692597708522
mgm4629278,host-associated,animal_host-associated,animal_feces,0.9702597352031584,1889,0.9090654230780374
mgm4629279,host-associated,animal_host-associated,animal_feces,0.9733706945173786,1910,0.9111855761249146
mgm4629280,host-associated,animal_host-associated,animal_feces,0.917679883853917,1956,0.9018810703884934
mgm4629281,host-associated,animal_host-associated,animal_feces,0.9394693390491635,1943,0.9011788043743156
mgm4629282,host-associated,animal_host-associated,animal_feces,0.9834487930154965,1907,0.9105782981874573
mgm4629283,host-associated,animal_host-associated,animal_feces,0.9502717785336104,1912,0.9097365196336177
mgm4629284,host-associated,animal_host-associated,animal_feces,0.9100474101585682,1972,0.9024255989490296
mgm4629285,host-associated,animal_host-associated,animal_feces,0.9804966161425059,1933,0.9028922196562682
mgm4629286,host-associated,animal_host-associated,animal_feces,0.9793497029571843,1911,0.908956147164347
mgm4629287,host-associated,animal_host-associated,animal_feces,0.9356387410419756,1880,0.9122064315654875
mgm4629288,host-associated,animal_host-associated,animal_feces,0.9697634685910445,1912,0.9057303385920592
mgm4629289,host-associated,animal_host-associated,animal_feces,0.9423437858560806,1953,0.9107270711617969
mgm4629290,host-associated,animal_host-associated,animal_feces,0.9242824265944166,1866,0.9120930285649309
mgm4629291,host-associated,animal_host-associated,animal_feces,0.937739420929135,1877,0.9112373202496604
mgm4629292,host-associated,animal_host-associated,animal_feces,0.9415441990556352,1932,0.911162104592967
mgm4629293,host-associated,animal_host-associated,animal_feces,0.9827071772605134,1951,0.9026395468986387
mgm4629609,free-living,saline_water,coastal_seawater,0.7634238991952752,1939,0.9126210430278318
mgm4629610,free-living,saline_water,coastal_seawater,0.7630589387271002,1943,0.9095768439441584
mgm4629611,free-living,saline_water,coastal_seawater,0.7793189504270395,1958,0.9052773939085531
mgm4629612,free-living,saline_water,coastal_seawater,0.7781341538005482,1866,0.9132567543030742
mgm4629613,free-living,saline_water,coastal_seawater,0.7746367524382324,1734,0.9123988004212263
mgm4629614,free-living,saline_water,coastal_seawater,0.7731043209372808,1943,0.9085383103001715
mgm4629615,free-living,saline_water,coastal_seawater,0.7787102772531094,1895,0.9120882297432122
mgm4629616,free-living,saline_water,coastal_seawater,0.7786550307423602,1861,0.9119377621830848
mgm4629617,free-living,sediment,coastal_marine_sediment,0.7627892611755319,1952,0.9055742317384685
mgm4629618,free-living,sediment,coastal_marine_sediment,0.7628140650040103,1870,0.913413357721093
mgm4629619,free-living,sediment,coastal_marine_sediment,0.7626021378974419,1928,0.9031748457682764
mgm4629620,free-living,sediment,coastal_marine_sediment,0.7619454053757487,1908,0.9101058490101677
mgm4629621,free-living,sediment,coastal_marine_sediment,0.7580466411479491,1954,0.9068821588963997
mgm4629622,free-living,sediment,coastal_marine_sediment,0.7580351138765423,1896,0.9108061465210265
mgm4629623,free-living,saline_water,coastal_seawater,0.8838021853651494,1937,0.9024119375440123
mgm4629624,free-living,saline_water,coastal_seawater,0.8849379343199193,1927,0.9101587779121034
mgm4629625,free-living,saline_water,coastal_seawater,0.8842076706228733,1955,0.9024865284029562
mgm4629626,free-living,saline_water,coastal_seawater,0.8852061845065936,1858,0.9124294709070568
mgm4629627,free-living,saline_water,coastal_seawater,0.8836403021321306,1944,0.9019902082878282
mgm4629628,free-living,saline_water,coastal_seawater,0.8853589254650941,1922,0.9113736998859611
